name,address,latitude,longitude,phone,overview,Total Sites,Overnight Sites,Seasonal Sites,Maximum Amperage,Electrical / Water / Sewer,Electrical / Water,Electrical,No Services,Min / Max (Daily),Max length (of RV),activities,Accessible facilities,Credit/debit cards,Dumping (station or mobile),Group camping,Internet (WiFi at site),Laundromat,Pet-friendly,Planned activities/events,Playground,Pull-thru sites,Rec hall/games room,Restaurant/snack bar,Store,Swimming (outdoor pool),Toilets/showers (comfort station),"Boating (marina, boat launch, or docks)",Cable TV (at site),Controlled access,Hot tub,Internet (hot spot),Propane,Swimming (indoor pool),"Swimming (lake, river, or beach)",Toilets (pit/outhouse)
Camping Paradis Bourget,"4304 Champlain Rd, Bourget, Ontario, K0A 1E0",45.41677,-75.14786,613-487-3394,"Camping Paradis Bourget is a newly renovated campground with accommodating campsites, fully equipped with electricity, running water, picnic tables and a fire pit. Brand-new splash pad for the kids. Enjoy 2 pools, a jacuzzi, a volleyball court, a soccer field and a playground. Multiple golf courses nearby. Cottage rentals available. Located 15 minutes from Calypso water park.",164,69,95,30,141,16,0,7,$38 / $50,45 ft,"Activities In or Around the Campground:Farmers' market/stands, Cycling, Horseback riding, Museum/heritage sites, Restaurants, Spa, Walking/hiking trails, Water park",1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0
Cape Croker Park,"112 Park Rd, Neyaashiinigmiing, Ontario, N0H 2T0",44.89151,-81.09095,519-534-0571,"The view is spectacular! Cape Croker Park is a family-oriented campground operated by the Chippewas of Nawash Unceded First Nation. We are located along the shores of Sydney Bay, and we are just 20 minutes northeast of Wiarton.Our campsites are in a variety of settings, from open to well-treed, social to private, and most are suitable for either tents or trailers. Perfect for the family getaway or camping near friends. 30-amp hydro hookups are now available in our very popular Beach Camping Area. We boast 1 fantastic group site on the waterfront: The Birches.  There are a variety of outdoor recreation opportunities, including hiking, cycling, swimming, canoeing, kayaking, sailing, windsurfing and fishing, to name a few. Our facilities include 2 comfort stations, showers, laundry, dump station. We also offer mobile trailer pump-out service, propane cylinder refilling and evening security patrols.Stay for a night, a week or the season. Camping–naturally!",315,240,75,50,0,27,51,237,$36 / $65,36 ft,"Activities In or Around the Campground:Boat rental (non-motorized), Day use, Fishing, Mountain biking, Restaurants, Volleyball, Walking/hiking trails, Wildlife viewing/birding",0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1
Carol's Campsite,"2388 Richard Lake Dr, Sudbury, Ontario, P3G 0A3",46.43203,-80.92115,705-522-5570,"On Hwy 69, 4 km S of Hwy 17 SW and SE bypass, adjacent to the old tourist info centre. Treed sites on Richard Lake. Family camping, paddleboats, recreation hall, store, 5 min to shopping, medical facilities and golf course. Sewer hookup at each site. Laundry facilities, security gates and cameras. Free WiFi and manager onsite 24/7. We have a new state-of-the-art environmentally friendly peat moss septic system. We have also installed a new water system. We are pet-friendly and have a recreation area for the kids, including a basketball and volleyball area.",155,85,70,30,155,0,0,0,$30 / $45,60 ft,"Activities In or Around the Campground:Badminton, Basketball, Boat rental (non-motorized), Dances, Fishing, Motorboats allowed, Swimming (lake, river), Volleyball",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0
Carson's Camp,"110 Southampton Pkwy, Sauble Beach, Ontario, N0H 2G0",44.61873,-81.26711,519-422-1143,"Carson's Camp, as a leader in the North American camping industry, expects to provide through its facilities and employees an exceptional-quality, family-oriented vacation and camping experience.  Quiet, families-only campground. Roads and sites are paved and have large cement decks. Every site has electricity, carefully monitored water, sewer, a fire pit and a picnic table.  For recreation, we offer 2 splash pads, an indoor pool with adult-only hot tub, sauna and fitness centre, 2 outdoor pools, accessible washrooms, 3 playgrounds and a bouncy pillow.Rated 10 by Woodall's. Carson's is known and respected for our clean washrooms and strict quiet hours. Visit our website to view all our campsite photos. Reserve for a minimum of 7 nights between July 12 and August 12 or a minimum of 4 nights before and after. We offer a $10 per night discount in May, June, Sept, Oct. Long weekends excluded.",700,230,470,30,700,0,0,0,$36 / $64,38 ft,"Activities In or Around the Campground:Basketball, Chess, Fitness, Horseshoes, Shuffleboard, Swimming (lake, river), Vehicle racing, Volleyball",1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0
Cedar Beach Resort,"15014 9th Line (Musselman's Lake), Stouffville, Ontario, L4A 3E7",44.0347,-79.27049,905-642-1700,"Beautiful Cedar Beach, conveniently located less than an hour's drive from Toronto, is your ideal seasonal resort. Whether you are looking for a place to stay for the season or perhaps a place to escape for the weekend, we have what you need. Situated on the sandy shore of Musselman’s Lake where young and old alike can enjoy a host of recreational facilities:Swimming and sunbathing on our 2-tier beachFishing and canoe, kayak and paddleboat rentalsFully licenced restaurant and our amazing new deck overlooking Musselman's Lake 2 swimming pools, hot tub and splash pad!Multiple playgrounds for all ages2 tennis courts and a basketball courtBeach volleyball, badminton, tetherball and sports fieldsUnbelievable annual fireworks show on the water!41 short-stay sites with power and water hookupsPull-thru lots offering sewer/water connections and 50- and 30-amp power520 fully serviced sites",560,80,480,50,509,41,0,10,$31 / $49,,"Activities In or Around the Campground:Fishing, Horseback riding, Badminton, Baseball, Basketball, Boat rental (non-motorized), Movies, Walking/hiking trails",0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
Cedar Park Resort,"6296 Cedar Park Rd, Hampton, Ontario, L1C 3K2",43.99079,-78.73753,905-263-8109,"7 km north of Bowmanville off Durham Rd 57. Large swimming pool, children's water play areas, 3 large waterslides. 18-hole mini-golf, tennis court, picnic areas, large children's playground. No pets/motorcycles. Reservations required. Hosts: the Jukic family.",100,100,0,30,100,0,0,0,$75 / $,40 ft,"Activities In or Around the Campground:Fishing, Golf (mini), Tennis, Vehicle racing, Water park",1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Cedar Valley Resort,"4739 Cedar Valley Rd, PO Box 135, Orono, Ontario, L0B 1M0",43.98018,-78.53186,905-213-6438,"Cedar Valley Resort is your must-stop destination, whether you are heading into or returning from Toronto. Cedar Valley has been recognized as one of Ontario's most beautiful campgrounds, year after year. We offer you a relaxing, friendly stay in our family-owned and -operated park. You will love it here! Your hosts: the Nukkala family.",180,10,170,30,175,0,0,5,$35 / $50,42 ft,"Activities In or Around the Campground:Farmers' market/stands, Fishing (guided), Golf, Shopping, Wildlife viewing/birding",1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
Cedar Valley Trailer Park,"657 Thunder Bridge Rd, Lindsay, Ontario, K9V 4R1",44.38135,-78.75067,705-324-9887,"Beautiful resort on Sturgeon Lake, part of the Trent canal system. Excellent facilities, activities. Heated saltwater pool. Access to ATV trail. Great lake for fishing and watersports.",157,40,117,30,0,157,0,0,$ / $,,"Activities In or Around the Campground:ATV-friendly, Basketball, Cycling, Dances, Fishing, Motorboats allowed",1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0
Cedardale Family Campground & Seasonal Resort,"107A Cedardale Rd, RR 2, Carrying Place, Ontario, K0K 1L0",44.02158,-77.64733,613-475-1105,"Located on the shore of Lake Ontario, you will find a beautiful treed resort, with overnight/seasonal sites and rental cottages.  The resort offers it’s guests a sandy beach, heated pool, volleyball, extra-large checker/chess set, playground, store, recreation hall and organized activities.  Close to many tourist attractions, including wineries and golfing.  Hwy. 401 to exits 509 or 522 south to County Rd. 64.",207,28,179,30,179,15,0,13,$48 / $70,40 ft,"Activities In or Around the Campground:Cycling, Day use, Swimming (lake, river), Table tennis, Tennis, Volleyball, Walking/hiking trails",1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0
Country Gardens RV Park,"1335 Witmer Rd, RR 2, Petersburg, Ontario, N0B 2H0",43.38212,-80.56735,519-696-3230,"Country Gardens is located in the countryside just outside of Kitchener. We have overnight and seasonal campsites awaiting you.Throughout the park you will find mature trees, a creek, ponds and campers to call friends. On a hot day, enjoy a dip in the outdoor heated pool or the swimming pond with inflatable water toys.We are home to the largest koi pond in the region. Come and feed these colourful fish.There are planned activities for campers of all ages. Participate in special-event weekends such as Halloween, the pie auction and many more. Join in weekly activities such as bingo, euchre, horseshoes and aquafit. Try out our mini-golf, pedal karts and paddleboats.Enjoy a meal, scooped ice cream or some candy at our snack bar. We also have specials, like Friday fish and chips or homemade soups.If you are looking for day trips, visit nearby St Jacobs, Stratford and the Kitchener-Waterloo area.Looking for an RV? We are an authorized dealership for Catalina, Bridgeview and Woodland Park.",254,30,224,30,250,4,0,0,$58 / $58,40 ft,"Activities In or Around the Campground:Basketball, Dances, Fishing, Golf (mini), Horseshoes, Pedal carts, Shuffleboard, Tennis",1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0
County Shores,"2281 CR-15, Prince Edward County, Ontario, K0K 2T0",44.15062,-77.13515,613-476-7290,"Located on the Bay of Quinte in beautiful Prince Edward County, County Shores is a camper's, angler's and RVer's paradise, offering a quiet and memorable vacation for all. County Shores is a 22-acre camping resort with over 1,300 feet of shoreline, providing fantastic views of Quinte and its legendary sunsets.For the camper, we offer large open and shaded grass sites with great views of the shoreline and the convenience of being a short drive to Prince Edward County attractions and the world-famous Sandbanks Provincial Park. For the angler, come fish the world-famous Bay of Quinte and Telegraph Narrows for record-size walleye, pike or bass. For the RVer, we offer large open and level sites for easy RV access, along with pull-thrus and 30-amp electricity, all less than 15 km over good paved public roads from Hwy 401.County Shores offers it all, from a beautiful location to fantastic fishing, to easy access. Come join us and make memories that will last a lifetime!",20,15,5,50,0,17,0,3,$40 / $60,45 ft,"Activities In or Around the Campground:Boat rental (motorized), Boat rental (non-motorized), Fishing, Fishing (guided), Horseshoes, Motorboats allowed, Water skiing, Wine tours",0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1
Covered Bridge Park,"1424 Round Lake Rd, Killaloe, Ontario, K0J 2A0",45.61929,-77.45512,613-757-3368,"Family camping near Algonquin Park on the Bonnechere River, with easy boat and canoe access to Round Lake and Golden Lake. We have a sandy beach and a boat launch, only 5 minutes by boat to Round Lake. This is a great location for fishing, watersports, canoeing and kayaking. This is a very quiet campground offering lots of privacy, with only 47 full-hookup sites surrounded by 150 acres of mature forest and trails. We have a few full-service, seasonal sites available at $1480 + HST. Also, we always have overnight sites available, and we have 3 cottages and yurts for rent.",47,11,36,30,47,0,0,0,$31 / $40,41 ft,"Activities In or Around the Campground:ATV-friendly, Boat rental (non-motorized), Fishing, Horseshoes, Walking/hiking trails",1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0
Craigleith RV Resort,"496875 Grey Rd 2, Clarksburg, Ontario, N0H 1J0",44.54708,-80.43496,519-599-3840,"Welcome to Craigleith Resort Park, a seasonal vacation park near the sandy shores of Georgian Bay. Here, you can enjoy sailing and sandy beaches along Georgian Bay. Minutes from great fishing. Surrounded by the woods of beautiful Beaver Valley and nestled in the Georgian Peaks, Craigleith Resort Park is the ideal place for hiking, boating, fishing or just sharing a spectacular sunset with family and friends.There are plenty of planned activities for adults and children alike; horseshoes, badminton and volleyball; and a number of scenic walking and biking trails for the whole family to discover. The resort also features a 4-foot-deep heated pool for our guests enjoyment. Be sure to check our website for a full description of park amenities.",111,49,62,30,88,0,0,23,$22.00 / $61.00,45 ft,"Activities In or Around the Campground:Walking/hiking trails, Badminton, Cycling, Farmers' market/stands, Fishing, Horseshoes, Pedal carts, Swimming (lake, river)",0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1
Deer Lake RV Resort,"85 Hutcheson Beach Rd, Huntsville, Ontario, P1H 1N4",45.34213,-79.24592,705-789-3326,"Welcome to Deer Lake Resort Park. For over 25 years, Deer Lake RV Resort has been the perfect family getaway for boating, fishing, swimming or just relaxing Muskoka-style. Our 120-acre park is located on beautiful Deer Lake outside Huntsville, with canals winding through the property. A short walk from the park entrance is beautiful Hutcheson Beach. Be sure to check our website for a full description of park amenities.",250,28,222,30,213,26,0,11,$38 / $54,45 ft,"Activities In or Around the Campground:Basketball, Motorboats allowed, Swimming (lake, river), Volleyball, Walking/hiking trails, Boat rental (non-motorized), Fishing, Horseshoes",0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0
Double M RV Resort & Campground,"101 Ridgewood Rd, RR 2, Lindsay, Ontario, K9V 4R2",44.31755,-78.7361,705-324-9317,"Family-owned family campground and RV resort celebrating over 40 years in the business! At the gateway to the Kawartha Lakes, our park features a beautiful open green area along the banks of the Scugog River, part of the Trent canal system, with a boat launch, docks and great swimming, fishing and boating. An excellent family getaway with a safe environment for children to ride bicycles and play. We have a sandy beach with shade and sun, planned activities, special events, recreational facilities and more; we have something for everyone!1.5 hours from the GTA, close to cycling and hiking trails, golf courses, theatres, restaurants, shopping, artisans and art galleries, Fleming College rec centre, car shows, festivals, fairs and so much more! Made up of a caring community of people, everyone is always welcome to join in any of the activities happening. We invite you to come for a visit and see what we are all about, welcoming and sharing with you our warm hospitality!",199,20,179,30,181,18,0,0,$50 / $60,40 ft,"Activities In or Around the Campground:Basketball, Dances, Fishing, Golf, Horseshoes, Volleyball, Walking/hiking trails, Water skiing",1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0
